nivesh@nivesh-VirtualBox:~/assignment_1$ ps -el
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     598       1  0  80   0 -  4540 -      ?        00:00:00 systemd-logind
4 S     0     602       1  0  80   0 - 117337 -     ?        00:00:00 udisksd
1 S   108     638     546  0  80   0 -  2120 -      ?        00:00:00 avahi-daemon
4 S     0     643       1  0  80   0 - 84112 -      ?        00:00:01 NetworkManager
4 S     0     645       1  0  80   0 -  4346 -      ?        00:00:00 wpa_supplicant
4 S   102     649       1  0  80   0 - 55641 -      ?        00:00:00 rsyslogd
4 S     0     695       1  0  80   0 - 98024 -      ?        00:00:00 ModemManager
4 S     0     984       1  0  80   0 -  9597 -      ?        00:00:00 cupsd
4 S     0     993       1  0  80   0 - 28063 -      ?        00:00:00 unattended-upgr
4 S   115    1013       1  0  80   0 - 67120 -      ?        00:00:00 cups-browsed
1 S   106    1026       1  0  80   0 -  3186 -      ?        00:00:00 kerneloops
1 S   106    1035       1  0  80   0 -  3186 -      ?        00:00:00 kerneloops
4 S     0    1054       1  0  80   0 - 78705 -      ?        00:00:00 gdm3
4 S     0    1072    1054  0  80   0 - 97432 -      ?        00:00:00 gdm-session-wor
4 S  1000    1105       1  0  80   0 -  5422 -      ?        00:00:02 systemd
5 S  1000    1107    1105  0  80   0 -  5367 -      ?        00:00:00 (sd-pam)
0 S  1000    1117    1105  0  80   0 - 28904 ep_pol ?        00:00:01 pipewire
0 S  1000    1118    1105  0  80   0 - 24434 ep_pol ?        00:00:00 pipewire
0 S  1000    1121    1105  0  80   0 - 101713 do_pol ?       00:00:01 wireplumber
0 S  1000    1122    1105  0  80   0 - 30244 ep_pol ?        00:00:00 pipewire-pulse
0 S  1000    1123    1105  0  80   0 - 79127 do_pol ?        00:00:00 gnome-keyring-d
0 S  1000    1131    1105  0  80   0 -  2755 ep_pol ?        00:00:01 dbus-daemon
4 S   117    1144       1  0  81   1 - 22119 -      ?        00:00:00 rtkit-daemon
0 S  1000    1145    1105  0  80   0 - 154880 do_pol ?       00:00:00 xdg-document-po
4 S  1000    1159    1072  0  80   0 - 58917 do_pol tty2     00:00:00 gdm-wayland-ses
0 S  1000    1163    1159  0  80   0 - 74559 do_pol tty2     00:00:00 gnome-session-b
0 S  1000    1213    1105  0  80   0 - 77327 do_pol ?        00:00:00 xdg-permission-
4 S     0    1223    1145  0  80   0 -   676 -      ?        00:00:00 fusermount3
0 S  1000    1232    1105  0  80   0 - 40663 do_pol ?        00:00:00 gcr-ssh-agent
0 S  1000    1233    1105  0  80   0 - 22887 do_pol ?        00:00:00 gnome-session-c
0 S  1000    1240    1105  0  80   0 - 78571 do_pol ?        00:00:00 gvfsd
0 S  1000    1246    1105  0  80   0 - 114927 futex_ ?       00:00:00 gvfsd-fuse
0 S  1000    1259    1105  0  80   0 - 166987 do_pol ?       00:00:00 gnome-session-b
0 S  1000    1295    1105  1  80   0 - 881371 do_pol ?       00:01:54 gnome-shell
0 S  1000    1296    1259  0  80   0 - 95734 do_pol ?        00:00:00 at-spi-bus-laun
0 S  1000    1308    1296  0  80   0 -  2403 ep_pol ?        00:00:00 dbus-daemon
0 S  1000    1387    1105  0  80   0 - 59017 do_pol ?        00:00:00 at-spi2-registr
4 S   118    1388       1  0  80   0 - 80007 -      ?        00:00:00 colord
0 S  1000    1435    1105  0  80   0 - 163682 do_pol ?       00:00:00 gnome-shell-cal
